complex_name,province,land_price,complex_group
파주적성일반산업단지,경기,190665,일반
파주첨단일반산업단지(선유지구),경기,379400,일반
파주축현일반산업단지,경기,550000,국가
파주탄현일반산업단지,경기,440000,일반
파주탄현중소기업전용국가산업단지,경기,203000,일반
평택LGDigitalPark일반산업단지,경기,0,일반
평택고렴일반산업단지,경기,620694,일반
평택송탄일반산업단지,경기,130000,일반
평택어연.한산일반산업단지,경기,118881,일반
평택일반산업단지,경기,145000,일반
평택장당일반산업단지,경기,168353,일반
평택진위2일반산업단지,경기,714823,일반
평택진위일반산업단지,경기,635066,일반
평택추팔일반산업단지,경기,123152,일반
평택칠괴일반산업단지,경기,136657,일반
평택포승2일반산업단지,경기,582310,일반
평택현곡일반산업단지,경기,162927,일반
포천금현일반산업단지,경기,333000,일반
포천신평일반산업단지,경기,90750,일반
포천양문일반산업단지,경기,254000,일반
포천용정일반산업단지,경기,360000,일반
포천장자일반산업단지,경기,447230,국가
포항국가산업단지,경북,30219,국가
포항블루밸리국가산업단지,경북,203360,국가
포항영일만2일반산업단지,경북,176630,국가
포항영일만3일반산업단지,경북,222821,일반
포항영일만4일반산업단지,경북,257125,일반
포항영일만일반산업단지,경북,173717,일반
한국수출산업(부평)국가산업단지,인천,3328,일반
한국수출산업(주안)국가산업단지,,3328,일반
함안대산대사일반산업단지,경남,233766,일반
함안법수강주일반산업단지,경남,250360,일반
함안법수우거일반산업단지,경남,220715,일반
함안사내일반산업단지,경남,259671,일반
함안일반산업단지,경남,257130,일반
함안장지일반산업단지,경남,0,일반
함양일반산업단지,경남,157000,일반
함평동함평일반산업단지,전남,111925,일반
홍성일반산업단지,충남,151250,일반
홍천북방일반산업단지,강원,32900,일반
화성 영진바이오 일반산업단지,경기,0,일반
화성 팔탄(한미약품) 일반산업단지,경기,0,일반
화성동탄일반산업단지,경기,825671,일반
화성마도일반산업단지,경기,271040,일반
화성바이오밸리일반산업단지,경기,461276,일반
화성발안일반산업단지,경기,162442,일반
화성송산테크노파크일반산업단지,경기,391000,일반
화성일반산업단지,경기,80000,일반
화성전곡해양일반산업단지,경기,477012,일반
화성정남일반산업단지,경기,741125,일반
화성주곡일반산업단지,경기,0,일반
화성향남제약일반산업단지,경기,44000,일반
화성화남일반산업단지,경기,0,일반
화순지방산업단지,전남,117540,일반
횡성우천일반산업단지,강원,131250,일반
