complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu,complex_group
포항영일만일반산업단지,0,0,0,0,0.153846154,0,0.153846154,0.538461538,0,0,0.153846154,일반
함안대산대사일반산업단지,0,0,0.243243243,0.027027027,0,0,0.648648649,0.081081081,0,0,0,일반
함안법수강주일반산업단지,0,0,0,0.043478261,0,0.217391304,0.608695652,0,0.130434783,0,0,일반
함안법수우거일반산업단지,0,0.0625,0,0,0,0,0.5625,0,0.375,0,0,일반
함안사내일반산업단지,0,0,0,0,0.25,0.25,0.25,0,0,0,0.25,일반
함안일반산업단지,0.022727273,0,0,0.053030303,0,0.113636364,0.727272727,0,0.045454545,0,0.037878788,일반
함안장지일반산업단지,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,일반
함양일반산업단지,0,0,0,0.25,0,0,0,0,0.25,0,0.5,일반
함평동함평일반산업단지,0.269662921,0.011235955,0.056179775,0.179775281,0.056179775,0.02247191,0.370786517,0.02247191,0.011235955,0,0,일반
홍성일반산업단지,0,0,0,0.090909091,0.090909091,0.181818182,0.272727273,0.181818182,0,0,0.181818182,일반
홍천북방일반산업단지,0.5,0,0,0.5,0,0,0,0,0,0,0,일반
화성 영진바이오 일반산업단지,0,0,0,1,0,0,0,0,0,0,0,일반
화성 팔탄(한미약품) 일반산업단지,0,0,0,1,0,0,0,0,0,0,0,일반
화성동탄일반산업단지,0,0,0.00973236,0.0243309,0,0,0.469586375,0.304136253,0.0243309,0.00243309,0.165450122,일반
화성마도일반산업단지,0,0,0,0,0,0.065656566,0.535353535,0.035353535,0.085858586,0,0.277777778,일반
화성바이오밸리일반산업단지,0.00660066,0,0.02310231,0.264026403,0,0.02310231,0.425742574,0.00990099,0.066006601,0,0.181518152,일반
화성발안일반산업단지,0,0.002645503,0,0.044973545,0,0,0.518518519,0.14021164,0.005291005,0.03968254,0.248677249,일반
화성송산테크노파크일반산업단지,0,0,0,0.050359712,0,0.035971223,0.661870504,0.09352518,0,0.028776978,0.129496403,일반
화성일반산업단지,0,0,0,0,0,0,0.5,0.5,0,0,0,일반
화성전곡해양일반산업단지,0.013793103,0.003448276,0.010344828,0.386206897,0.003448276,0.010344828,0.362068966,0.04137931,0.051724138,0.017241379,0.1,일반
화성정남일반산업단지,0.044247788,0,0,0.238938053,0,0,0.469026549,0.17699115,0,0,0.07079646,일반
화성주곡일반산업단지,0.03125,0.03125,0.09375,0.15625,0,0,0.375,0,0.09375,0.03125,0.1875,일반
화성향남제약일반산업단지,0,0,0,0.833333333,0,0,0,0,0,0,0.166666667,일반
화성화남일반산업단지,0,0,0,0,0,0,1,0,0,0,0,일반
화순지방산업단지,0,0,0,0.666666667,0,0,0,0.095238095,0,0,0.238095238,일반
횡성우천일반산업단지,0.193548387,0.032258065,0.064516129,0.225806452,0,0.129032258,0.064516129,0.064516129,0.193548387,0,0.032258065,일반
