complex_name,complex_group,airport_name,airport_distance,seaport_name,seaport_distance,highway_name,highway_distance,station_name,station_distance
청주오창제2일반산업단지,일반,청주국제공항,7.4,탄도항,118,오창IC,2.9,동탄역 (고속철도),14
청주오창제3일반산업단지,일반,청주국제공항,9.7,탄도항,115,오창IC,7,진주역 (고속철도),47
청주테크노폴리스일반산업단지,일반,청주국제공항,17,탄도항,106,오창IC,5.4,부산역 (고속철도),66
청주현도일반산업단지,일반,청주국제공항,11,탄도항,133,서청주IC,3.6,창원역 (고속철도),24
춘천동춘천일반산업단지,일반,청주국제공항,37,탄도항,137,남청주IC,5.6,창원중앙역 (고속철도),23
춘천전력IT문화복합일반산업단지,일반,원주공항,48,탄도항,149,조양IC,4.1,진주역 (고속철도),34
춘천후평일반산업단지,일반,원주공항,68,탄도항,136,강촌IC,4.8,물금역 (고속철도),19
충주DH산업단지,일반,원주공항,66,탄도항,167,춘천IC,8.9,여수EXPO역 (고속철도),47
충주KGC예본일반산업단지,일반,청주국제공항,66,탄도항,123,북충주IC,6.6,울산역 (고속철도),26
충주대신일반산업단지,일반,청주국제공항,78,탄도항,138,충주IC,10,진주역 (고속철도),35
충주만정일반산업단지,일반,원주공항,58,탄도항,144,충주IC,25,천안아산역 (고속철도),7.1
충주제1일반산업단지,일반,청주국제공항,62,탄도항,130,충주IC,2.7,천안아산역 (고속철도),13
충주제3일반산업단지,일반,청주국제공항,72,탄도항,148,충주IC,13,천안아산역 (고속철도),5.9
충주제4일반산업단지,일반,청주국제공항,61,탄도항,129,충주IC,4.1,천안아산역 (고속철도),6
충주제5일반산업단지,일반,청주국제공항,72,탄도항,148,충주IC,13,논산역 (고속철도),85
충주중원일반산업단지,일반,원주공항,64,탄도항,148,충주IC,15,계룡역 (고속철도),3.6
칠곡연화일반산업단지,일반,김포국제공항국제선청사,50,소래포구,48,성남IC,6.3,대전역 (고속철도),55
칠서일반산업단지,일반,대구국제공항,30,탄도항,269,성주IC,10,행신역 (고속철도),89
탕정일반산업단지,일반,사천공항,66,명동항,54,진성IC,5.1,오송역 (고속철도),17
태백동점산업단지,일반,김포국제공항,35,전류리포구,32,산단IC,17,평택지제역 (고속철도),9.9
파주LCD일반산업단지,일반,청주국제공항,45,안섬포구,44,아산현충사IC,5.4,행신역 (고속철도),39
파주금파일반산업단지,일반,원주공항,178,장호항,67,삼척IC,56,양평역 (고속철도),49
파주문발제1일반산업단지,일반,김포국제공항,45,전류리포구,42,산단IC,11,충주역 (고속철도),4.6
파주문발제2일반산업단지,일반,김포국제공항,58,외포항,86,내포IC,45,충주역 (고속철도),12
파주법원2일반산업단지,일반,김포국제공항,27,전류리포구,24,북고양(설문)IC,9.5,충주역 (고속철도),4.6
파주신촌일반산업단지,일반,김포국제공항,28,전류리포구,25,북고양(설문)IC,8.1,충주역 (고속철도),6.7
파주오산일반산업단지,일반,김포국제공항,40,외포항,76,산단IC,15,앙성온천역 (고속철도),15
파주월롱첨단일반산업단지,일반,김포국제공항,27,전류리포구,23,서김포.통진IC,22,평택지제역 (고속철도),4.3
파주적성일반산업단지,일반,김포국제공항국제선청사,66,탄도항,46,북오산IC,6.1,진주역 (고속철도),19
파주첨단일반산업단지(선유지구),일반,김포국제공항,46,전류리포구,43,산단IC,12,오송역 (고속철도),45
파주축현일반산업단지,일반,김포국제공항,66,대명포구,72,양주IC,30,공주역 (고속철도),87
파주탄현일반산업단지,일반,김포국제공항,43,외포항,82,내포IC,35,행신역 (고속철도),33
평택LGDigitalPark일반산업단지,일반,김포국제공항,35,전류리포구,32,산단IC,17,동탄역 (고속철도),9.1
평택고렴일반산업단지,일반,김포국제공항국제선청사,74,탄도항,55,오산IC,3,행신역 (고속철도),30
평택송탄일반산업단지,일반,청주국제공항,72,탄도항,60,송탄IC,3.1,대전역 (고속철도),17
평택어연.한산일반산업단지,일반,청주국제공항,73,탄도항,62,평택고덕IC,6.5,수원역 (고속철도),25
평택일반산업단지,일반,청주국제공항,69,탄도항,63,송탄IC,3.3,평택지제역 (고속철도),1.4
평택장당일반산업단지,일반,청주국제공항,66,탄도항,60,안성IC,10,광주송정역 (고속철도),4.9
평택진위2일반산업단지,일반,청주국제공항,73,탄도항,54,평택고덕IC,4.8,평택지제역 (고속철도),9.8
평택진위일반산업단지,일반,김포국제공항국제선청사,74,탄도항,55,오산IC,3.5,평택지제역 (고속철도),31
평택추팔일반산업단지,일반,김포국제공항국제선청사,84,탄도항,55,오산IC,3,부산역 (고속철도),26
평택칠괴일반산업단지,일반,청주국제공항,69,탄도항,63,송탄IC,1,평택지제역 (고속철도),2.8
평택포승2일반산업단지,일반,청주국제공항,72,탄도항,60,송탄IC,3.1,대전역 (고속철도),17
평택현곡일반산업단지,일반,청주국제공항,76,평택항만,1.9,서평택IC,5.4,행신역 (고속철도),33
포천금현일반산업단지,일반,김포국제공항국제선청사,80,탄도항,41,청북IC,2.9,행신역 (고속철도),31
포천신평일반산업단지,일반,김포국제공항,61,전류리포구,77,고모IC,4.9,행신역 (고속철도),31
포천양문일반산업단지,일반,김포국제공항,75,탄도항,60,신북IC,3.2,행신역 (고속철도),31
포천용정일반산업단지,일반,김포국제공항,104,탄도항,148,신북IC,12,구례구역 (고속철도),93
포천장자일반산업단지,일반,김포국제공항,68,탄도항,123,포천IC,1.1,마산역 (고속철도),21
포항영일만2일반산업단지,일반,김포국제공항,76,탄도항,131,신북IC,5.5,공주역 (고속철도),6.8
