complex_name,status,completion_date,avg_price,industry_type,management,land_size,complex_group,website_url
기장명례일반산업단지,분양완료,2014-01-08,348500,"식료품, 섬유제품, 의복·의복액세서리 및 모피, 가중가방 및 신발, 고무 및 플라스틱제품, 비금속광물, 1차금속, 금속가공제품, ,전기장비, 기타 기계 및 장비, 자동차 및 운송장비, 기타 운송장비, 가구 제조업, 창고 및 운송관련스비스업",명례일반산업단지관리공단,1566006,일반,https://www.busan.com/view/busan/view.php?code=20130722000114
기장에코장안일반산업단지,분양완료,2019-12-18,514185,"식료품, 섬유제품, 고무제품 및 플라스틱제품, 비금속광물제품, 1차금속, 전기장비, 기타기계및장비, 자동차 및 트레일러, 기타운송장비 제조업, 창고 및 운송관련서비스업",부산경제진흥원,200811,일반,https://blog.naver.com/sunny0059/223593667540
기장장안일반산업단지,분양완료,2011-05-11,293240,"금속가공제품, 자동차 및 트레일러, 전기장비, 전자부품·영상·음향 및 통신장비, 기타기계 및 장비, 의료·정밀·광학기기 및 시계 제조업, 육상운송 및 파이프라인 운송업, 창고 및 운송관련 서비스업, 비주거용 건물임대업",부산경제진흥원,1300922,일반,https://blog.naver.com/gbeens1/223481731083
기장정관일반산업단지,분양완료,2010-03-02,235893,"섬유·화학, 목재·비금속, 철강·기계, 운송장비, 유통설비, 기타제조업, 비주거용건물임대업",부산경제진흥원,1209272,일반,https://blog.naver.com/gbeens1/223476684331
김제순동일반산업단지,분양완료,1999-02-12,48000,"식료품,펄프·종이및종이제품,고무제품및플라스틱,비금속광물제품,제1차금속,금속가공,전자부품·컴퓨터·영상·음향및통신장비,의료·정밀·광학기기및시계,전기장비,기타기계및장비,자동차및트레일러,기타(RIC), 태양력발전업(공장부지안 건축물에 발전설비를 설치에 한함), *입주제한 고시문 참조",전북_김제시,262061,일반,https://terms.naver.com/entry.naver?docId=2588311&cid=51947&categoryId=55124
김제지평선일반산업단지,분양중,2019-04-12,120395,"식료품,목재,펄프및종이,코크스·연탄및석유정제품,화학,고무및플리스틱,비금속광물,1차금속,금속가공,전자부품·컴퓨터·영상·음향및통신장비,전기장비,기타기계및장비,자동차및트레일러,기타운송장비 제조업,창고및운송관련서비스업,출판업,영상·오디오기록물제작및배급업,컴퓨터프로그래밍·관리업등서비스업,정보서비스업,연구시설,전문서비스업,건축기술·엔지니어링및기타과학기술서비스업,기타전문·과학및기술서비스업,사업시설관리및조경,사업지원,교육서비스업,인쇄및기록매체복제업",전북_김제시,2977811,일반,https://terms.naver.com/entry.naver?docId=2588345&cid=51947&categoryId=55124
김천제1일반산업단지,분양중,2017-08-31,102279,"식료품,음료품,섬유제품,펄프·종이,화학물질 및 화학제품,비금속광물제품,1차금속,금속가공,전자부품·컴퓨터·영상·음향및통신장비,전기장비,자동차 및 트레일러,기티운송장비 제조업, 부동산업(부동산임대업에 한함)",경북_김천시,2198599,일반,https://www.youtube.com/watch?v=1I3q8nNgY60
김포상마일반산업단지,분양완료,2003-01-13,154545,"한국표준산업분류상 전 제조업(단, 입주제한업종을 제외한 업종에 한함.)",경기_김포시,78737,일반,https://www.gimpo.go.kr/portal/contents.do?key=1313
김포양촌일반산업단지,분양완료,2010-03-29,612121,"섬유제품,펄프·종이및종이제품,의료용물질및의약품,고무및플라스틱,1차금속,금속가공제품,전자부품·영상·음향및통신장비,의료정밀·광학기기및시계,전기장비,기타기계및장비,가구,기타제품 제조업, 인쇄및기록매체복제업, 지식산업센터(정보통신,지식산업 등)",김포산업단지관리공단,1686493,일반,https://www.gimpo.go.kr/portal/contents.do?key=1317
김포율생일반산업단지,분양완료,2004-12-08,167000,"한국표준산업분류상 전 제조업(단, 입주제한업종을 제외한 업종에 한함.)",경기_김포시,48758,일반,https://www.gimpo.go.kr/portal/contents.do?key=1314
김포통진일반산업단지,분양완료,2012-09-28,0,"섬유제품 제조업;의복 제외(C13), 펄프종이 및 종이제품 제조업(C17), 고무 및 플라스틱제품 제조업,(C22), 금속제품 제조업:기계 및 가구제외(C25), 기타기계 및 장비 제조업(C29)",경기_김포시,33971,일반,https://www.gimpo.go.kr/portal/contents.do?key=1315
