complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu
시흥매화일반산업단지,0,0,0,0,0,0.33863402,0.587847002,0.60511899,0.34677632,0.598106362,0.511754137
신갈일반산업단지,0,0,0,0,0,0,0,0,0,0.062195531,0
신둔일반산업단지,0,0,0,0.050918575,0,0,0,0.043017132,0,0,0
아산국가산업단지,0.383615355,0.121471202,0.281809019,0.55946373,0.386030028,0.581234992,0.457056689,0.283299301,0.431896088,0,0.378818645
아산디지털일반산업단지,0,0,0,0,0,0,0.091290997,0.298140444,0,0,0
아산운용일반산업단지,0,0,0,0.050918575,0,0,0.221898886,0.099882688,0,0,0
아산인주일반산업단지,0,0,0,0,0,0.176941984,0.345513018,0,0.383389084,0,0.211742452
아산제2테크노밸리일반산업단지,0.142277095,0,0,0.169147846,0,0.250368191,0.446066076,0.224095744,0.324981094,0,0.2259432
아산탕정디스플레이시티1일반산업단지,0,0,0,0.118229271,0.084742433,0,0,0.043017132,0,0,0.037517336
아산테크노밸리일반산업단지,0.142277095,0.054022222,0,0,0.196765836,0.053264845,0.471816554,0.404490611,0.528161142,0,0.260022805
안산반월도금일반산업단지,0.06127541,0.125435715,0,0.323717491,0.084742433,0,0.471816554,0.202199436,0.191281243,0.062195531,0.211742452
안성가율일반산업단지,0,0,0,0.050918575,0,0,0,0,0.057581392,0,0.037517336
안성개정일반산업단지,0,0,0,0.239339694,0.084742433,0,0.091290997,0.099882688,0,0,0.037517336
안성공도일반산업단지,0,0,0,0,0,0,0,0,0,0.254221922,0.037517336
안성금산지방산업단지,0.42468377,0,0,0,0,0,0,0,0,0,0
안성덕산일반산업단지,0.142277095,0,0.137208938,0.287377117,0,0,0.039316892,0,0,0,0
안성동항일반산업단지,0,0.125435715,0,0.118229271,0,0.053264845,0.091290997,0.175830929,0.057581392,0.144413551,0
안성동항제2일반산업단지,0,0,0,0.118229271,0.28150827,0,0.29967539,0.043017132,0,0,0
안성마정일반산업단지,0,0,0,0,0,0,0.130607889,0,0,0,0
안성방초일반산업단지,0.06127541,0,0,0.265257944,0.084742433,0,0.039316892,0,0,0,0
안성용월일반산업단지,0.06127541,0.220813825,0,0,0,0,0.091290997,0,0,0.062195531,0
안성원곡일반산업단지,0.06127541,0,0.137208938,0.050918575,0.084742433,0,0,0,0.057581392,0,0
안성월정일반산업단지,0,0,0,0.118229271,0,0,0,0.043017132,0,0,0.087112558
안성장원일반산업단지,0.06127541,0,0,0.208127785,0,0,0.204819517,0.14289982,0,0,0
안성장원제2일반산업단지,0.25046096,0,0,0,0.084742433,0.053264845,0,0.099882688,0.057581392,0,0
안성제1일반산업단지,0.369023055,0,0.277761549,0.352903271,0.196765836,0,0.272495053,0.202199436,0.133699851,0.062195531,0.124629894
안성제2일반산업단지,0.389561604,0.125435715,0.059092673,0.447467478,0.28150827,0.053264845,0.261780184,0.099882688,0.235361799,0.254221922,0.037517336
안성제3일반산업단지,0.31921139,0,0,0.447467478,0.084742433,0.053264845,0.221898886,0.224095744,0.057581392,0.062195531,0.037517336
안성제4일반산업단지,0.25046096,0,0,0.287377117,0,0.053264845,0.272495053,0.043017132,0.057581392,0,0.037517336
안성지문일반산업단지,0,0,0,0.050918575,0,0,0,0,0,0,0
안정국가산업단지,0,0,0,0,0,0,0.139351668,0,0.359399208,0,0.132973465
양산덕계일반산업단지,0.06127541,0,0.137208938,0.323717491,0.196765836,0,0.204819517,0.099882688,0.270657861,0,0.153350719
양산산막일반산업단지,0,0,0,0.050918575,0.084742433,0.217718073,0.504002517,0.286417163,0.559557333,0.062195531,0.329698697
양산서창일반산업단지,0.06127541,0.125435715,0,0,0.196765836,0.176941984,0.314756278,0,0.497932692,0.062195531,0.037517336
