"id","complex_name","address","main_industry"
628934,용인제일일반산업단지,경기도 용인시 처인구 양지면 제일리 640-19 외 1필지,29271
628937,용인테크노밸리일반산업단지,경기도 용인시 처인구 이동읍 덕성리 184번지 용인테크노밸리 일반산업단지 내 산업 8-6블럭,20499
629085,용인통삼일반산업단지,경기도 용인시 처인구 남사읍 서촌로 56,26299
629091,용인패키징디자인일반산업단지,경기도 용인시 처인구 유림로 165-45 (유방동),22299
629094,울산길천일반산업단지,울산광역시 울주군 상북면 길천산업로 383,30399
629217,울산매곡일반산업단지,울산광역시 북구 매곡산업로 54 (매곡동),29294
629264,울산매곡제2일반산업단지,"울산광역시 북구 매곡산업4길 62(매곡동, (주)국일에프에이)",29229
629278,울산매곡제3일반산업단지,울산광역시 북구 매곡산업6길 15-1(매곡동),30399
629303,울산모듈화일반산업단지,"울산광역시 북구 모듈화산업로 207-12 (연암동, (주)금영)",30399
629337,울산미포국가산업단지,"울산광역시 남구, 동구, 북구",25924
630296,울산반천일반산업단지,울산광역시 울주군 언양읍 반천산업로 219-13,25991
630387,울산봉계일반산업단지,울산광역시 울주군 두동면 봉계리 660번지,30331
630397,울산신일반산업단지,울산광역시 울주군 온산읍 처용산업로 51-26,25929
630485,울산와지일반산업단지,울산광역시 울주군 웅촌면 와지공단2길 37,30320
630516,울산전읍일반산업단지,울산광역시 울주군 두서면 전읍농공길 1-45,22299
630519,울산중산2차일반산업단지,울산광역시 북구 중산산업1길 6 (중산동),29119
630574,울산중산일반산업단지,울산광역시 북구 중산산업로 17 (중산동),29299
630593,울산테크노일반산업단지,울산광역시 남구 테크노산업로55번길 14 (두왕동),70129
630774,웅천일반산업단지,충청남도 보령시 웅천읍 구룡리 958,10213
630787,원주동화일반산업단지,강원특별자치도 원주시 문막읍 동화공단로 58-1,25112
630802,원주문막반계일반산업단지,강원특별자치도 원주시 문막읍 반계리 2255-8,70129
630824,원주문막지방산업단지,강원특별자치도 원주시 문막읍 문막공단길 188,13229
630852,원주우산일반산업단지,강원특별자치도 원주시 우산로 170(우산동),10801
630875,원주자동차부품일반산업단지,"강원특별자치도 원주시 문막읍 세오름길 26, BL-7",30399
630881,음성금왕일반산업단지,충청북도 음성군 금왕읍 대금로1278번길 81,10111
630889,음성금왕테크노밸리일반산업단지,충청북도 음성군 금왕읍 금왕테크노5길 13,10742
630955,음성대풍일반산업단지,충청북도 음성군 대소면 대풍산단로 58,20493
630964,음성리노삼봉일반산업단지,충청북도 음성군 맹동면 인곡리 0번지 리노삼봉산업단지 3블럭,29299
630975,음성맹동일반산업단지,충청북도 음성군 맹동면 맹동산단로 31,10794
