complex_name,latitude,longitude
밀양나노융합국가산업단지,35.4936707,128.7216749
창원국가산업단지,35.2171164,128.6634156
북평국가산업단지,37.4809877,129.1408851
빛그린국가산업단지,35.1793189,126.6496826
여수국가산업단지,34.8252028,127.6814398
온산국가산업단지,35.4375233,129.3382361
울산미포국가산업단지,35.515332,129.35866
한국수출산업(부평)국가산업단지,37.5197599,126.7163069
한국수출산업(주안)국가산업단지,37.4721463,126.6908935
석문국가산업단지,36.985885,126.5828005
포항블루밸리국가산업단지,35.9597888,129.4996398
파주탄현중소기업전용국가산업단지,37.8270395,126.7357769
장항국가생태산업단지,36.0047804,126.7153028
오송생명과학단지,36.6331884,127.3300576
안정국가산업단지,34.9545075,128.4171668
진해국가산업단지,35.1105507,128.7176445
아산국가산업단지,36.9620099,126.8541355
포항국가산업단지,36.0255,129.373  
